最速下降法：
第1次迭代, f(x_1) = 0.7711096853451352, x1 = 0.1612617799292677, x2 = 0.0000000000000000
第3167次迭代, f(x_3167) = 0.0000231983197999, x1 = 0.9951898049475024, x2 = 0.9903781829865909
第3168次迭代, f(x_3168) = 0.0000231449204000, x1 = 0.9951891052696270, x2 = 0.9903998982184755
第3169次迭代, f(x_3169) = 0.0000230916456498, x1 = 0.9952008771950361, x2 = 0.9904002776135069
第3170次迭代, f(x_3170) = 0.0000230384962943, x1 = 0.9952001786750349, x2 = 0.9904219411839873
第3171次迭代, f(x_3171) = 0.0000229854702962, x1 = 0.9952119230942067, x2 = 0.9904223199077211
第3172次迭代, f(x_3172) = 0.0000229325697737, x1 = 0.9952112257264477, x2 = 0.9904439321554228
第3173次迭代, f(x_3173) = 0.0000228797906299, x1 = 0.9952229428201430, x2 = 0.9904443101515455
第3174次迭代, f(x_3174) = 0.0000228271384538, x1 = 0.9952222465256924, x2 = 0.9904658701778857
第3175次迭代, f(x_3175) = 0.0000227746080104, x1 = 0.9952339358753540, x2 = 0.9904662476910495
第3176次迭代, f(x_3176) = 0.0000227221999623, x1 = 0.9952332410808381, x2 = 0.9904877571937315
第3177次迭代, f(x_3177) = 0.0000226699138376, x1 = 0.9952449032671632, x2 = 0.9904881339665501
第3178次迭代, f(x_3178) = 0.0000226177519385, x1 = 0.9952442094821842, x2 = 0.9905095925926171
第3179次迭代, f(x_3179) = 0.0000225657083132, x1 = 0.9952558446770469, x2 = 0.9905099685729826
第3180次迭代, f(x_3180) = 0.0000225137920330, x1 = 0.9952551518869849, x2 = 0.9905313736908241
第3181次迭代, f(x_3181) = 0.0000224619987024, x1 = 0.9952667587095136, x2 = 0.9905317496064986
第3182次迭代, f(x_3182) = 0.0000224103179084, x1 = 0.9952660680852636, x2 = 0.9905531091491693
第3183次迭代, f(x_3183) = 0.0000223587535599, x1 = 0.9952776490387407, x2 = 0.9905534833368630
第3184次迭代, f(x_3184) = 0.0000223073097439, x1 = 0.9952769603000168, x2 = 0.9905747933529578
第3185次迭代, f(x_3185) = 0.0000222559852934, x1 = 0.9952885143268529, x2 = 0.9905751668163910
第3186次迭代, f(x_3186) = 0.0000222047828861, x1 = 0.9952878266271247, x2 = 0.9905964260848963
第3187次迭代, f(x_3187) = 0.0000221536977455, x1 = 0.9952993537026159, x2 = 0.9905967988703666
第3188次迭代, f(x_3188) = 0.0000221027350308, x1 = 0.9952986671535827, x2 = 0.9906180068096060
第3189次迭代, f(x_3189) = 0.0000220518908598, x1 = 0.9953101668864323, x2 = 0.9906183791474577
第3190次迭代, f(x_3190) = 0.0000220011638859, x1 = 0.9953094818656673, x2 = 0.9906395380965447
第3191次迭代, f(x_3191) = 0.0000219505540935, x1 = 0.9953209552113766, x2 = 0.9906399095405599
第3192次迭代, f(x_3192) = 0.0000219000671697, x1 = 0.9953202709544925, x2 = 0.9906610161840702
第3193次迭代, f(x_3193) = 0.0000218496983016, x1 = 0.9953317167221003, x2 = 0.9906613873660730
第3194次迭代, f(x_3194) = 0.0000217994426127, x1 = 0.9953310343060929, x2 = 0.9906824467199749
第3195次迭代, f(x_3195) = 0.0000217493026284, x1 = 0.9953424543506521, x2 = 0.9906828167417665
第3196次迭代, f(x_3196) = 0.0000216992879557, x1 = 0.9953417722208207, x2 = 0.9907038225667115
第3197次迭代, f(x_3197) = 0.0000216493892367, x1 = 0.9953531643881098, x2 = 0.9907041925437481
第3198次迭代, f(x_3198) = 0.0000215996009522, x1 = 0.9953524844791506, x2 = 0.9907251526059427
第3199次迭代, f(x_3199) = 0.0000215499265270, x1 = 0.9953638514463693, x2 = 0.9907255212269417
第3200次迭代, f(x_3200) = 0.0000215003793643, x1 = 0.9953631714862439, x2 = 0.9907464264707238
第3201次迭代, f(x_3201) = 0.0000214509473724, x1 = 0.9953745109446087, x2 = 0.9907467953594408
第3202次迭代, f(x_3202) = 0.0000214016377268, x1 = 0.9953738312523247, x2 = 0.9907676481564671
第3203次迭代, f(x_3203) = 0.0000213524412672, x1 = 0.9953851434098360, x2 = 0.9907680168121444
第3204次迭代, f(x_3204) = 0.0000213033569089, x1 = 0.9953844656105650, x2 = 0.9907888229653449
第3205次迭代, f(x_3205) = 0.0000212543840130, x1 = 0.9953957515338854, x2 = 0.9907891904564926
第3206次迭代, f(x_3206) = 0.0000212055181089, x1 = 0.9953950765181069, x2 = 0.9908099518188612
第3207次迭代, f(x_3207) = 0.0000211567661740, x1 = 0.9954063373332740, x2 = 0.9908103180404767
第3208次迭代, f(x_3208) = 0.0000211081358911, x1 = 0.9954056623763334, x2 = 0.9908310266650390
第3209次迭代, f(x_3209) = 0.0000210596173951, x1 = 0.9954168958865321, x2 = 0.9908313927533970
第3210次迭代, f(x_3210) = 0.0000210112080746, x1 = 0.9954162230099622, x2 = 0.9908520549607857
第3211次迭代, f(x_3211) = 0.0000209629112380, x1 = 0.9954274310657959, x2 = 0.9908524200193256
第3212次迭代, f(x_3212) = 0.0000209147324880, x1 = 0.9954267586604428, x2 = 0.9908730313640315
第3213次迭代, f(x_3213) = 0.0000208666635882, x1 = 0.9954379400944823, x2 = 0.9908733960118546
第3214次迭代, f(x_3214) = 0.0000208187069716, x1 = 0.9954372692685527, x2 = 0.9908939597517863
第3215次迭代, f(x_3215) = 0.0000207708599270, x1 = 0.9954484249851301, x2 = 0.9908943235674228
第3216次迭代, f(x_3216) = 0.0000207231293757, x1 = 0.9954477549749680, x2 = 0.9909148378659587
第3217次迭代, f(x_3217) = 0.0000206755059416, x1 = 0.9954588845631830, x2 = 0.9909152010883915
第3218次迭代, f(x_3218) = 0.0000206279975616, x1 = 0.9954582158424276, x2 = 0.9909356658325845
第3219次迭代, f(x_3219) = 0.0000205805994703, x1 = 0.9954693188925982, x2 = 0.9909360287000950
第3220次迭代, f(x_3220) = 0.0000205333094013, x1 = 0.9954686518406457, x2 = 0.9909564466175989
第3221次迭代, f(x_3221) = 0.0000204861291087, x1 = 0.9954797295127074, x2 = 0.9909568085801195
第3222次迭代, f(x_3222) = 0.0000204390627769, x1 = 0.9954790631696014, x2 = 0.9909771761358722
第3223次迭代, f(x_3223) = 0.0000203921064666, x1 = 0.9954901142997329, x2 = 0.9909775378102458
第3224次迭代, f(x_3224) = 0.0000203452555813, x1 = 0.9954894497124415, x2 = 0.9909978599864636
第3225次迭代, f(x_3225) = 0.0000202985116319, x1 = 0.9955004761610057, x2 = 0.9909982204707232
第3226次迭代, f(x_3226) = 0.0000202518857168, x1 = 0.9954998117903769, x2 = 0.9910184903747173
第3227次迭代, f(x_3227) = 0.0000202053681990, x1 = 0.9955108110454866, x2 = 0.9910188509625115
第3228次迭代, f(x_3228) = 0.0000201589510981, x1 = 0.9955101491215216, x2 = 0.9910390779204200
第3229次迭代, f(x_3229) = 0.0000201126400968, x1 = 0.9955211244690206, x2 = 0.9910394369937859
第3230次迭代, f(x_3230) = 0.0000200664496476, x1 = 0.9955204621805656, x2 = 0.9910596101427002
第3231次迭代, f(x_3231) = 0.0000200203659671, x1 = 0.9955314107236900, x2 = 0.9910599696045559
第3232次迭代, f(x_3232) = 0.0000199743949005, x1 = 0.9955307489752412, x2 = 0.9910800931039775
第3233次迭代, f(x_3233) = 0.0000199285289077, x1 = 0.9955416714646931, x2 = 0.9910804521944450
第3234次迭代, f(x_3234) = 0.0000198827690544, x1 = 0.9955410113597007, x2 = 0.9911005292172537
第3235次迭代, f(x_3235) = 0.0000198371150635, x1 = 0.9955519086591083, x2 = 0.9911008875345245
第3236次迭代, f(x_3236) = 0.0000197915700643, x1 = 0.9955512494729142, x2 = 0.9911209162380453
第3237次迭代, f(x_3237) = 0.0000197461299889, x1 = 0.9955621211392073, x2 = 0.9911212740364101
第3238次迭代, f(x_3238) = 0.0000197007958959, x1 = 0.9955614632986122, x2 = 0.9911412566348604
第3239次迭代, f(x_3239) = 0.0000196555641420, x1 = 0.9955723101861572, x2 = 0.9911416135170130
第3240次迭代, f(x_3240) = 0.0000196104445240, x1 = 0.9955716530260682, x2 = 0.9911615466285907
第3241次迭代, f(x_3241) = 0.0000195654279435, x1 = 0.9955824738347722, x2 = 0.9911619032790107
第3242次迭代, f(x_3242) = 0.0000195205139352, x1 = 0.9955818185476699, x2 = 0.9911817914451687
第3243次迭代, f(x_3243) = 0.0000194757031148, x1 = 0.9955926147990700, x2 = 0.9911821471313793
第3244次迭代, f(x_3244) = 0.0000194310021241, x1 = 0.9955919600795330, x2 = 0.9912019864836842
第3245次迭代, f(x_3245) = 0.0000193864026667, x1 = 0.9956027306868013, x2 = 0.9912023417829052
第3246次迭代, f(x_3246) = 0.0000193419070967, x1 = 0.9956020775669825, x2 = 0.9912221353498417
第3247次迭代, f(x_3247) = 0.0000192975135428, x1 = 0.9956128233701192, x2 = 0.9912224898716772
第3248次迭代, f(x_3248) = 0.0000192532268675, x1 = 0.9956121711452064, x2 = 0.9912422358893954
第3249次迭代, f(x_3249) = 0.0000192090409600, x1 = 0.9956228917281035, x2 = 0.9912425898741062
第3250次迭代, f(x_3250) = 0.0000191649594618, x1 = 0.9956222408457177, x2 = 0.9912622890836786
第3251次迭代, f(x_3251) = 0.0000191209802133, x1 = 0.9956329362692060, x2 = 0.9912626425319593
第3252次迭代, f(x_3252) = 0.0000190771029139, x1 = 0.9956322866825276, x2 = 0.9912822964371150
第3253次迭代, f(x_3253) = 0.0000190333249898, x1 = 0.9956429577737331, x2 = 0.9912826489648130
第3254次迭代, f(x_3254) = 0.0000189896552678, x1 = 0.9956423088358340, x2 = 0.9913022544225086
第3255次迭代, f(x_3255) = 0.0000189460847809, x1 = 0.9956529544072431, x2 = 0.9913026066569763
第3256次迭代, f(x_3256) = 0.0000189026145781, x1 = 0.9956523072254270, x2 = 0.9913221673797260
第3257次迭代, f(x_3257) = 0.0000188592444043, x1 = 0.9956629284235391, x2 = 0.9913225187762988
第3258次迭代, f(x_3258) = 0.0000188159789076, x1 = 0.9956622820301980, x2 = 0.9913420318142169
第3259次迭代, f(x_3259) = 0.0000187728132262, x1 = 0.9956728780051111, x2 = 0.9913423828305624
第3260次迭代, f(x_3260) = 0.0000187297463298, x1 = 0.9956722331921578, x2 = 0.9913618513804432
第3261次迭代, f(x_3261) = 0.0000186867782872, x1 = 0.9956828050496336, x2 = 0.9913622014922088
第3262次迭代, f(x_3262) = 0.0000186439149264, x1 = 0.9956821609045164, x2 = 0.9913816221450004
第3263次迭代, f(x_3263) = 0.0000186011502780, x1 = 0.9956927075114814, x2 = 0.9913819719518685
第3264次迭代, f(x_3264) = 0.0000185584827900, x1 = 0.9956920650829180, x2 = 0.9914013485429785
第3265次迭代, f(x_3265) = 0.0000185159138800, x1 = 0.9957025876940649, x2 = 0.9914016974456753
第3266次迭代, f(x_3266) = 0.0000184734480213, x1 = 0.9957019459198398, x2 = 0.9914210266567092
第3267次迭代, f(x_3267) = 0.0000184310796996, x1 = 0.9957124435598937, x2 = 0.9914213751755240
第3268次迭代, f(x_3268) = 0.0000183888087312, x1 = 0.9957118033673160, x2 = 0.9914406598101220
第3269次迭代, f(x_3269) = 0.0000183466359264, x1 = 0.9957222768349547, x2 = 0.9914410075745946
第3270次迭代, f(x_3270) = 0.0000183045630394, x1 = 0.9957216375375273, x2 = 0.9914602464972271
第3271次迭代, f(x_3271) = 0.0000182625856953, x1 = 0.9957320867350984, x2 = 0.9914605935868528
第3272次迭代, f(x_3272) = 0.0000182207090747, x1 = 0.9957314485145837, x2 = 0.9914797860541111
第3273次迭代, f(x_3273) = 0.0000181789295208, x1 = 0.9957418729137876, x2 = 0.9914801327645192
第3274次迭代, f(x_3274) = 0.0000181372449756, x1 = 0.9957412362649927, x2 = 0.9914992813478967
第3275次迭代, f(x_3275) = 0.0000180956571011, x1 = 0.9957516368596737, x2 = 0.9914996272104242
第3276次迭代, f(x_3276) = 0.0000180541688893, x1 = 0.9957510009507022, x2 = 0.9915187293637909
第3277次迭代, f(x_3277) = 0.0000180127761735, x1 = 0.9957613770044001, x2 = 0.9915190747784213
第3278次迭代, f(x_3278) = 0.0000179714789723, x1 = 0.9957607425381710, x2 = 0.9915381329578374
第3279次迭代, f(x_3279) = 0.0000179302765175, x1 = 0.9957710948308922, x2 = 0.9915384775631245
第3280次迭代, f(x_3280) = 0.0000178891733900, x1 = 0.9957704611825307, x2 = 0.9915574893139216
第3281次迭代, f(x_3281) = 0.0000178481652302, x1 = 0.9957807888740132, x2 = 0.9915578335618022
第3282次迭代, f(x_3282) = 0.0000178072503172, x1 = 0.9957801568439408, x2 = 0.9915768014635186
第3283次迭代, f(x_3283) = 0.0000177664316104, x1 = 0.9957904607079074, x2 = 0.9915771449955563
第3284次迭代, f(x_3284) = 0.0000177257079370, x1 = 0.9957898295990689, x2 = 0.9915960689360885
第3285次迭代, f(x_3285) = 0.0000176850756369, x1 = 0.9958001093561284, x2 = 0.9915964115314380
第3286次迭代, f(x_3286) = 0.0000176445307249, x1 = 0.9957994811376075, x2 = 0.9916152951021526
第3287次迭代, f(x_3287) = 0.0000176040818178, x1 = 0.9958097379699221, x2 = 0.9916156365869992
第3288次迭代, f(x_3288) = 0.0000175637307280, x1 = 0.9958091099898727, x2 = 0.9916344733822999
第3289次迭代, f(x_3289) = 0.0000175234724936, x1 = 0.9958193424580225, x2 = 0.9916348145090705
第3290次迭代, f(x_3290) = 0.0000174833061553, x1 = 0.9958187160612927, x2 = 0.9916536084327610
第3291次迭代, f(x_3291) = 0.0000174432321730, x1 = 0.9958289252389697, x2 = 0.9916539486921518
第3292次迭代, f(x_3292) = 0.0000174032552243, x1 = 0.9958282995213895, x2 = 0.9916726969799616
第3293次迭代, f(x_3293) = 0.0000173633692592, x1 = 0.9958384846098939, x2 = 0.9916730368025802
第3294次迭代, f(x_3294) = 0.0000173235761619, x1 = 0.9958378603330942, x2 = 0.9916917419396613
第3295次迭代, f(x_3295) = 0.0000172838735672, x1 = 0.9958480220847968, x2 = 0.9916920809773742
第3296次迭代, f(x_3296) = 0.0000172442672029, x1 = 0.9958473986451335, x2 = 0.9917107406558049
第3297次迭代, f(x_3297) = 0.0000172047516147, x1 = 0.9958575362817229, x2 = 0.9917110793288266
第3298次迭代, f(x_3298) = 0.0000171653265917, x1 = 0.9958569144216253, x2 = 0.9917296959952188
第3299次迭代, f(x_3299) = 0.0000171259934176, x1 = 0.9958670286892805, x2 = 0.9917300339583824
第3300次迭代, f(x_3300) = 0.0000170867525805, x1 = 0.9958664077647755, x2 = 0.9917486066861255
第3301次迭代, f(x_3301) = 0.0000170476013613, x1 = 0.9958764986449982, x2 = 0.9917489439780660
第3302次迭代, f(x_3302) = 0.0000170085434303, x1 = 0.9958758787588036, x2 = 0.9917674719916897
第3303次迭代, f(x_3303) = 0.0000169695762162, x1 = 0.9958859457644264, x2 = 0.9917678088862355
第3304次迭代, f(x_3304) = 0.0000169306974107, x1 = 0.9958853273854764, x2 = 0.9917862942323151
第3305次迭代, f(x_3305) = 0.0000168919097038, x1 = 0.9958953712522159, x2 = 0.9917866303893427
第3306次迭代, f(x_3306) = 0.0000168532127997, x1 = 0.9958947537744501, x2 = 0.9918050713036165
第3307次迭代, f(x_3307) = 0.0000168146066577, x1 = 0.9959047740130907, x2 = 0.9918054069978329
第3308次迭代, f(x_3308) = 0.0000167760878837, x1 = 0.9959041579074532, x2 = 0.9918238055157745
第3309次迭代, f(x_3309) = 0.0000167376588746, x1 = 0.9959141552464181, x2 = 0.9918241404105799
第3310次迭代, f(x_3310) = 0.0000166993209574, x1 = 0.9959135399030067, x2 = 0.9918424950888589
第3311次迭代, f(x_3311) = 0.0000166610702206, x1 = 0.9959235140255529, x2 = 0.9918428293722349
第3312次迭代, f(x_3312) = 0.0000166229103240, x1 = 0.9959228998074727, x2 = 0.9918611403934795
第3313次迭代, f(x_3313) = 0.0000165848382218, x1 = 0.9959328505416849, x2 = 0.9918614741806319
第3314次迭代, f(x_3314) = 0.0000165468542949, x1 = 0.9959322376399571, x2 = 0.9918797426068620
第3315次迭代, f(x_3315) = 0.0000165089580633, x1 = 0.9959421654053073, x2 = 0.9918800757160666
第3316次迭代, f(x_3316) = 0.0000164711511898, x1 = 0.9959415534942356, x2 = 0.9918983006759194
第3317次迭代, f(x_3317) = 0.0000164334314653, x1 = 0.9959514580675674, x2 = 0.9918986332479584
第3318次迭代, f(x_3318) = 0.0000163957993366, x1 = 0.9959508473833882, x2 = 0.9919168159468843
第3319次迭代, f(x_3319) = 0.0000163582531488, x1 = 0.9959607292268287, x2 = 0.9919171477784835
第3320次迭代, f(x_3320) = 0.0000163207970712, x1 = 0.9959601194451556, x2 = 0.9919352860504301
第3321次迭代, f(x_3321) = 0.0000162834286523, x1 = 0.9959699776499985, x2 = 0.9919356176263382
第3322次迭代, f(x_3322) = 0.0000162461427377, x1 = 0.9959693695821313, x2 = 0.9919537156093776
第3323次迭代, f(x_3323) = 0.0000162089432213, x1 = 0.9959792057387520, x2 = 0.9919540461598593
第3324次迭代, f(x_3324) = 0.0000161718346885, x1 = 0.9959785980183327, x2 = 0.9919720996793466
第3325次迭代, f(x_3325) = 0.0000161348098510, x1 = 0.9959884109213666, x2 = 0.9919724298379090
第3326次迭代, f(x_3326) = 0.0000160978712841, x1 = 0.9959878046920416, x2 = 0.9919904418092099
第3327次迭代, f(x_3327) = 0.0000160610169446, x1 = 0.9959975950412691, x2 = 0.9919907712530137
第3328次迭代, f(x_3328) = 0.0000160242508924, x1 = 0.9959969897249662, x2 = 0.9920087400918789
第3329次迭代, f(x_3329) = 0.0000159875686832, x1 = 0.9960067571056217, x2 = 0.9920090690574470
第3330次迭代, f(x_3330) = 0.0000159509718900, x1 = 0.9960061531034872, x2 = 0.9920269966341012
第3331次迭代, f(x_3331) = 0.0000159144576937, x1 = 0.9960158982082080, x2 = 0.9920273248020464
第3332次迭代, f(x_3332) = 0.0000158780326606, x1 = 0.9960152949946561, x2 = 0.9920452081768548
第3333次迭代, f(x_3333) = 0.0000158416920114, x1 = 0.9960250166533343, x2 = 0.9920455361626785
第3334次迭代, f(x_3334) = 0.0000158054315966, x1 = 0.9960244152735521, x2 = 0.9920633801164943
第3335次迭代, f(x_3335) = 0.0000157692548889, x1 = 0.9960341152449900, x2 = 0.9920637070655441
第3336次迭代, f(x_3336) = 0.0000157331670975, x1 = 0.9960335141950487, x2 = 0.9920815065824424
第3337次迭代, f(x_3337) = 0.0000156971618048, x1 = 0.9960431909297695, x2 = 0.9920818333004829
第3338次迭代, f(x_3338) = 0.0000156612375717, x1 = 0.9960425916085582, x2 = 0.9920995937181689
第3339次迭代, f(x_3339) = 0.0000156253939600, x1 = 0.9960522469001361, x2 = 0.9920999193329728
第3340次迭代, f(x_3340) = 0.0000155896414333, x1 = 0.9960516478172101, x2 = 0.9921176342238345
第3341次迭代, f(x_3341) = 0.0000155539708195, x1 = 0.9960612793595444, x2 = 0.9921179599207648
第3342次迭代, f(x_3342) = 0.0000155183771069, x1 = 0.9960606825779281, x2 = 0.9921356369627009
第3343次迭代, f(x_3343) = 0.0000154828659609, x1 = 0.9960702929145450, x2 = 0.9921359614930031
第3344次迭代, f(x_3344) = 0.0000154474430226, x1 = 0.9960696962206317, x2 = 0.9921535938377778
第3345次迭代, f(x_3345) = 0.0000154121010413, x1 = 0.9960792833540870, x2 = 0.9921539182317436
第3346次迭代, f(x_3346) = 0.0000153768376195, x1 = 0.9960786885649454, x2 = 0.9921715118436160
第3347次迭代, f(x_3347) = 0.0000153416550368, x1 = 0.9960882543132631, x2 = 0.9921718352165009
第3348次迭代, f(x_3348) = 0.0000153065593431, x1 = 0.9960876598684200, x2 = 0.9921893850221400
第3349次迭代, f(x_3349) = 0.0000152715434791, x1 = 0.9960972026929750, x2 = 0.9921897081738033
第3350次迭代, f(x_3350) = 0.0000152366066474, x1 = 0.9960966100072678, x2 = 0.9922072186792928
第3351次迭代, f(x_3351) = 0.0000152017501948, x1 = 0.9961061312504623, x2 = 0.9922075409635750
第3352次迭代, f(x_3352) = 0.0000151669779934, x1 = 0.9961055391874251, x2 = 0.9922250083785360
第3353次迭代, f(x_3353) = 0.0000151322863809, x1 = 0.9961150376776425, x2 = 0.9922253304109501
第3354次迭代, f(x_3354) = 0.0000150976718497, x1 = 0.9961144472788070, x2 = 0.9922427595981304
第3355次迭代, f(x_3355) = 0.0000150631354771, x1 = 0.9961239248214254, x2 = 0.9922430805000391
第3356次迭代, f(x_3356) = 0.0000150286866918, x1 = 0.9961233345877186, x2 = 0.9922604649369209
第3357次迭代, f(x_3357) = 0.0000149943168988, x1 = 0.9961327888322555, x2 = 0.9922607859153272
第3358次迭代, f(x_3358) = 0.0000149600210042, x1 = 0.9961322008686430, x2 = 0.9922781332602593
第3359次迭代, f(x_3359) = 0.0000149258047266, x1 = 0.9961416343181986, x2 = 0.9922784530862406
第3360次迭代, f(x_3360) = 0.0000148916732775, x1 = 0.9961410464434379, x2 = 0.9922957567052083
第3361次迭代, f(x_3361) = 0.0000148576195954, x1 = 0.9961504571895311, x2 = 0.9922960763637898
第3362次迭代, f(x_3362) = 0.0000148236420102, x1 = 0.9961498711406276, x2 = 0.9923133419416177
第3363次迭代, f(x_3363) = 0.0000147897417923, x1 = 0.9961592609128567, x2 = 0.9923136605919520
第3364次迭代, f(x_3364) = 0.0000147559257072, x1 = 0.9961586752071955, x2 = 0.9923308833111016
第3365次迭代, f(x_3365) = 0.0000147221857600, x1 = 0.9961680425446361, x2 = 0.9923312017134539
第3366次迭代, f(x_3366) = 0.0000146885228821, x1 = 0.9961674585461094, x2 = 0.9923483852763390
第3367次迭代, f(x_3367) = 0.0000146549379678, x1 = 0.9961768044038972, x2 = 0.9923487029784033
第3368次迭代, f(x_3368) = 0.0000146214320545, x1 = 0.9961762212975153, x2 = 0.9923658453184604
第3369次迭代, f(x_3369) = 0.0000145880041575, x1 = 0.9961855451795002, x2 = 0.9923661625961877
第3370次迭代, f(x_3370) = 0.0000145546517514, x1 = 0.9961849634430205, x2 = 0.9923832655760680
第3371次迭代, f(x_3371) = 0.0000145213772618, x1 = 0.9961942659820683, x2 = 0.9923835821387562
第3372次迭代, f(x_3372) = 0.0000144881805075, x1 = 0.9961936851028114, x2 = 0.9924006441097627
第3373次迭代, f(x_3373) = 0.0000144550614084, x1 = 0.9962029658017472, x2 = 0.9924009602337395
第3374次迭代, f(x_3374) = 0.0000144220168640, x1 = 0.9962023862584632, x2 = 0.9924179830487512
第3375次迭代, f(x_3375) = 0.0000143890495941, x1 = 0.9962116457443021, x2 = 0.9924182984461232
第3376次迭代, f(x_3376) = 0.0000143561593695, x1 = 0.9962110670197613, x2 = 0.9924352807520797
第3377次迭代, f(x_3377) = 0.0000143233451222, x1 = 0.9962203049550518, x2 = 0.9924355956188849
第3378次迭代, f(x_3378) = 0.0000142906065798, x1 = 0.9962197273781651, x2 = 0.9924525390482647
第3379次迭代, f(x_3379) = 0.0000142579418487, x1 = 0.9962289443834325, x2 = 0.9924528530997414
第3380次迭代, f(x_3380) = 0.0000142253570570, x1 = 0.9962283675051036, x2 = 0.9924697544836248
第3381次迭代, f(x_3381) = 0.0000141928479720, x1 = 0.9962375622321011, x2 = 0.9924700684229072
第3382次迭代, f(x_3382) = 0.0000141604093712, x1 = 0.9962369872594257, x2 = 0.9924869327628205
第3383次迭代, f(x_3383) = 0.0000141280468844, x1 = 0.9962461614661621, x2 = 0.9924872457342147
第3384次迭代, f(x_3384) = 0.0000140957620988, x1 = 0.9962455868707386, x2 = 0.9925040687193343
第3385次迭代, f(x_3385) = 0.0000140635514042, x1 = 0.9962547393975535, x2 = 0.9925043813312008
第3386次迭代, f(x_3386) = 0.0000140314138235, x1 = 0.9962541662551837, x2 = 0.9925211663683444
第3387次迭代, f(x_3387) = 0.0000139993495520, x1 = 0.9962632981128672, x2 = 0.9925214781398319
第3388次迭代, f(x_3388) = 0.0000139673631350, x1 = 0.9962627255987524, x2 = 0.9925382218188429
第3389次迭代, f(x_3389) = 0.0000139354506481, x1 = 0.9962718355872744, x2 = 0.9925385333784262
第3390次迭代, f(x_3390) = 0.0000139036086310, x1 = 0.9962712647699573, x2 = 0.9925552404661465
第3391次迭代, f(x_3391) = 0.0000138718390815, x1 = 0.9962803546251463, x2 = 0.9925555509690328
第3392次迭代, f(x_3392) = 0.0000138401489147, x1 = 0.9962797840439496, x2 = 0.9925722158067319
第3393次迭代, f(x_3393) = 0.0000138085311309, x1 = 0.9962888518430009, x2 = 0.9925725262439378
第3394次迭代, f(x_3394) = 0.0000137769825977, x1 = 0.9962882832283722, x2 = 0.9925891550013385
第3395次迭代, f(x_3395) = 0.0000137455065388, x1 = 0.9962973309633685, x2 = 0.9925894643993702
第3396次迭代, f(x_3396) = 0.0000137141082969, x1 = 0.9962967626138191, x2 = 0.9926060510934289
第3397次迭代, f(x_3397) = 0.0000136827827263, x1 = 0.9963057883671099, x2 = 0.9926063604405709
第3398次迭代, f(x_3398) = 0.0000136515246366, x1 = 0.9963052219777402, x2 = 0.9926229121121363
第3399次迭代, f(x_3399) = 0.0000136203372338, x1 = 0.9963142282284583, x2 = 0.9926232201903942
第3400次迭代, f(x_3400) = 0.0000135892302469, x1 = 0.9963136617085403, x2 = 0.9926397282445603
第3401次迭代, f(x_3401) = 0.0000135581949758, x1 = 0.9963226460810438, x2 = 0.9926400366140924
第3402次迭代, f(x_3402) = 0.0000135272341897, x1 = 0.9963220801858760, x2 = 0.9926565041207819
第3403次迭代, f(x_3403) = 0.0000134963454819, x1 = 0.9963310431083564, x2 = 0.9926568122514352
第3404次迭代, f(x_3404) = 0.0000134655245880, x1 = 0.9963304788459529, x2 = 0.9926732437216118
第3405次迭代, f(x_3405) = 0.0000134347741809, x1 = 0.9963394213285568, x2 = 0.9926735507916653
第3406次迭代, f(x_3406) = 0.0000134040897679, x1 = 0.9963388592223525, x2 = 0.9926899477724578
第3407次迭代, f(x_3407) = 0.0000133734752026, x1 = 0.9963477823347408, x2 = 0.9926902536104999
第3408次迭代, f(x_3408) = 0.0000133429388082, x1 = 0.9963472201485470, x2 = 0.9927066076615445
第3409次迭代, f(x_3409) = 0.0000133124730311, x1 = 0.9963561216974731, x2 = 0.9927069137327938
第3410次迭代, f(x_3410) = 0.0000132820806019, x1 = 0.9963555600199863, x2 = 0.9927232279554170
第3411次迭代, f(x_3411) = 0.0000132517574482, x1 = 0.9963644405786927, x2 = 0.9927235336598116
第3412次迭代, f(x_3412) = 0.0000132215034951, x1 = 0.9963638803198818, x2 = 0.9927398108232006
第3413次迭代, f(x_3413) = 0.0000131913187841, x1 = 0.9963727406842477, x2 = 0.9927401157869349
第3414次迭代, f(x_3414) = 0.0000131612061646, x1 = 0.9963721811900936, x2 = 0.9927563536329389
第3415次迭代, f(x_3415) = 0.0000131311628360, x1 = 0.9963810206437739, x2 = 0.9927566582408963
第3416次迭代, f(x_3416) = 0.0000131011872943, x1 = 0.9963804625547441, x2 = 0.9927728600705733
第3417次迭代, f(x_3417) = 0.0000130712789447, x1 = 0.9963892817464977, x2 = 0.9927731636866591
第3418次迭代, f(x_3418) = 0.0000130414355365, x1 = 0.9963887259114509, x2 = 0.9927893312550186
第3419次迭代, f(x_3419) = 0.0000130116603466, x1 = 0.9963975257733345, x2 = 0.9927896337718684
第3420次迭代, f(x_3420) = 0.0000129819597181, x1 = 0.9963969700563522, x2 = 0.9928057602864127
第3421次迭代, f(x_3421) = 0.0000129523267364, x1 = 0.9964057485606652, x2 = 0.9928060627466684
第3422次迭代, f(x_3422) = 0.0000129227585419, x1 = 0.9964051947941452, x2 = 0.9928221543099308
第3423次迭代, f(x_3423) = 0.0000128932585759, x1 = 0.9964139538234993, x2 = 0.9928224557942539
第3424次迭代, f(x_3424) = 0.0000128638307156, x1 = 0.9964134004017382, x2 = 0.9928385067551062
